지점명,주소,주소1,주소2,주소3
안양역사,경기도 안양시 만안구 만안로 232,경기도,안양시,만안구 만안로 232
홈플러스센텀시티,부산광역시 해운대구 센텀동로 1-224,부산광역시,해운대구,센텀동로 1-224
부산안락,부산광역시 동래구 안락로 134,부산광역시,동래구,안락로 134
남양주청학,경기도 남양주시 청학로중앙길15,경기도,남양주시,청학로중앙길15
동암남부,인천광역시 부평구 동암남로 5,인천광역시,부평구,동암남로 5
포항흥해,경상북도 포항시 북구 흥해읍 흥해로 38,경상북도,포항시,북구 흥해읍 흥해로 38
창원도계,경상남도 창원시 의창구 도계로 99,경상남도,창원시,의창구 도계로 99
일산탄현,경기도 고양시 일산서구 일현로 47,경기도,고양시,일산서구 일현로 47
홈플러스동수원,경기도 수원시 팔달구 호원로 257,경기도,수원시,팔달구 호원로 257
광양,전라남도 광양시 광양읍 매천로835,전라남도,광양시,광양읍 매천로835
명지대학,서울특별시 서대문구 남가좌2동 324-31,서울특별시,서대문구,남가좌2동 324-31
개봉역,서울특별시 구로구 경인로 40길 47 1F,서울특별시,구로구,경인로 40길 47 1F
롯데마트울산,울산광역시 남구 달동 삼산로 74(달동),울산광역시,남구,달동 삼산로 74(달동)
양산덕계,경상남도 양산시 덕계로 78,경상남도,양산시,덕계로 78
삼천포벌리,경상남도 사천시 주공로 9,경상남도,사천시,주공로 9
광주하남,광주광역시 광산구 월곡1동 538-2,광주광역시,광산구,월곡1동 538-2
인천강화,인천광역시 강화군 강화읍 강화대로 419,인천광역시,강화군,강화읍 강화대로 419
광주진월,광주광역시 남구 서문대로 662,광주광역시,남구,서문대로 662
궁전라벤더,대구광역시 동구 아양로 52,대구광역시,동구,아양로 52
익산부송,전라북도 익산시 부송로66,전라북도,익산시,부송로66
전주아중,전라북도 전주시 덕진구 무삼지로 66,전라북도,전주시,덕진구 무삼지로 66
울진D/I,경상북도 울진군 울진읍 읍내리 47,경상북도,울진군,울진읍 읍내리 47
대전중촌,대전광역시 중구 목중로 22 1층 롯데리,대전광역시,중구,목중로 22 1층 롯데리
장현,경기도 남양주시 진접읍 장현로 93,경기도,남양주시,진접읍 장현로 93
인천용현,인천광역시 미추홀구 낙섬중로 42,인천광역시,미추홀구,낙섬중로 42
금촌로터리,경기도 파주시 황골로 39,경기도,파주시,황골로 39
남부터미널,서울특별시 서초구 효령로 289 장곡빌딩 103호,서울특별시,서초구,효령로 289 장곡빌딩 103호
하남신장,경기도 하남시 대청로73,경기도,하남시,대청로73
홈플러스울산,울산광역시 중구 번영로 475,울산광역시,중구,번영로 475
킴스순천,전라남도 순천시 비봉2길 4-12,전라남도,순천시,비봉2길 4-12
화성남양,경기도 화성시 남양읍 남양성지로 147,경기도,화성시,남양읍 남양성지로 147
안산본오,경기도 안산시 상록구 샘골로 150 동성빌딩 101,경기도,안산시,상록구 샘골로 150 동성빌딩 101
인천작전,인천광역시 계양구 안남로 548,인천광역시,계양구,안남로 548
천안쌍용,충청남도 천안시 동남구 쌍용대로 84,충청남도,천안시,동남구 쌍용대로 84
수원터미널,경기도 수원시 권선구 경수대로 270 1311호,경기도,수원시,권선구 경수대로 270 1311호
부산아쿠아리움,부산광역시 해운대구 해운대 해변로 266,부산광역시,해운대구,해운대 해변로 266
석관,서울특별시 성북구 돌곶이로 75,서울특별시,성북구,돌곶이로 75
신김포공항,서울특별시 강서구 하늘길 김포공,서울특별시,강서구,하늘길 김포공
홈플러스구월,인천광역시 남동구 에술로 198 (구월동),인천광역시,남동구,에술로 198 (구월동)
청주하복대,충청북도 청주시 흥덕구 진재로 56,충청북도,청주시,흥덕구 진재로 56
인천학익,인천광역시 미추홀구 매소홀로 466,인천광역시,미추홀구,매소홀로 466
시흥중앙,서울특별시 금천구 금하로 712,서울특별시,금천구,금하로 712
부산터미날1호,부산광역시 금정구 중앙대로 2238,부산광역시,금정구,중앙대로 2238
청주대학,충청북도 청주시 상당구 상당로 255,충청북도,청주시,상당구 상당로 255
원주하나로,강원도 원주시 무실로 182,강원도,원주시,무실로 182
삼척,강원도 삼척시 진주로32,강원도,삼척시,진주로32
수원권선,경기도 수원시 권선구 동수원로 242번길 20,경기도,수원시,권선구 동수원로 242번길 20
양주덕정,경기도 양주시 고암길 306-77,경기도,양주시,고암길 306-77
시흥은행,경기도 시흥시 대은로83,경기도,시흥시,대은로83
대전송촌,대전광역시 대덕구 동춘당로 94번길 11-7,대전광역시,대덕구,동춘당로 94번길 11-7
공주신관,충청남도 공주시 흑수골길 34,충청남도,공주시,흑수골길 34
군산나운,전라북도 군산시 하나운로 73,전라북도,군산시,하나운로 73
광주오치,광주광역시 북구 오치동 949-27,광주광역시,북구,오치동 949-27
울산범서,울산광역시 울주군 범서읍 천상길 29,울산광역시,울주군,범서읍 천상길 29
일산마두,경기도 고양시 일산동구 일산로 239번길,경기도,고양시,일산동구 일산로 239번길
평택안중,경기도 평택시 안중읍 안중로 109-2,경기도,평택시,안중읍 안중로 109-2
해남,전라남도 해남군 해남읍 중앙2로 해남읍 중앙2로 22,전라남도,해남군,해남읍 중앙2로 해남읍 중앙2로 22
고성,경상남도 고성군 고성읍 동외로 178번길 3-19,경상남도,고성군,고성읍 동외로 178번길 3-19
까치산역,서울특별시 강서구 강서로 35 롯데리아,서울특별시,강서구,강서로 35 롯데리아
대전송강,대전광역시 유성구 구즉로 71,대전광역시,유성구,구즉로 71
김해진영,경상남도 김해시 진영읍 여래로 18,경상남도,김해시,진영읍 여래로 18
강원대학,강원도 춘천시 서부대성로 243,강원도,춘천시,서부대성로 243
구미동아,경상북도 구미시 송원동로 28,경상북도,구미시,송원동로 28
청주사천,충청북도 청주시 상당구 사뜸로 49,충청북도,청주시,상당구 사뜸로 49
경산사동,경상북도 경산시 원효로32길 23,경상북도,경산시,원효로32길 23
대구신당,대구광역시 달서구 계대동문로 24-1,대구광역시,달서구,계대동문로 24-1
북비산,대구광역시 서구 달서로 182,대구광역시,서구,달서로 182
창원대학,경상남도 창원시 의창구 퇴촌로 31-1,경상남도,창원시,의창구 퇴촌로 31-1
신림녹두,서울특별시 관악구 신림로23길 16,서울특별시,관악구,신림로23길 16
일동,경기도 포천시 일동면 화동로 1051번길 4-7,경기도,포천시,일동면 화동로 1051번길 4-7
충주칠금,충청북도 충주시 칠금12길 5,충청북도,충주시,칠금12길 5
안산한양대,경기도 안산시 상록구 광덕1로 379,경기도,안산시,상록구 광덕1로 379
진천,충청북도 진천군 진천읍 중앙동로 56,충청북도,진천군,진천읍 중앙동로 56
홈플러스거제,경상남도 거제시 장평로 12 홈플러스지하1층,경상남도,거제시,장평로 12 홈플러스지하1층
구로가산,서울특별시 금천구 디지털로 188,서울특별시,금천구,디지털로 188
청주분평,충청북도 청주시 흥덕구 월평로 4,충청북도,청주시,흥덕구 월평로 4
창원대방,경상남도 창원시 성산구 가양로124번길 13,경상남도,창원시,성산구 가양로124번길 13
대전노은,대전광역시 유성구 은구비로42,대전광역시,유성구,은구비로42
안산D/T,경기도 안산시 상록구 예술광장1로 68,경기도,안산시,상록구 예술광장1로 68
대전갈마,대전광역시 서구 갈마로64,대전광역시,서구,갈마로64
경주황성,경상북도 경주시 황성로 33,경상북도,경주시,황성로 33
성환,충청남도 천안시 서북구성환읍 성환2로 372-1,충청남도,천안시,서북구성환읍 성환2로 372-1
포항양덕,경상북도 포항시 북구 천마로 68,경상북도,포항시,북구 천마로 68
월드점,서울특별시 송파구 올림픽로 240 1층 롯데월드 스포츠센타,서울특별시,송파구,올림픽로 240 1층 롯데월드 스포츠센타
광주운남,광주광역시 광산구 하남대로 282,광주광역시,광산구,하남대로 282
인천남동구청,인천광역시 남동구 장승남로 54,인천광역시,남동구,장승남로 54
청주사창,충청북도 청주시 흥덕구 내수동로116(사창동),충청북도,청주시,흥덕구 내수동로116(사창동)
아차산역,서울특별시 광진구 천호대로 665,서울특별시,광진구,천호대로 665
광양중동,전라남도 광양시 공영로62(중동),전라남도,광양시,공영로62(중동)
울산터미널,울산광역시 남구 화합로 133,울산광역시,남구,화합로 133
태안,충청남도 태안군 태안읍 동백로 291-4,충청남도,태안군,태안읍 동백로 291-4
탑마트신다대,부산광역시 사하구 다송로 58,부산광역시,사하구,다송로 58
인천연수,인천광역시 연수구 샘말로 55,인천광역시,연수구,샘말로 55
계룡,충청남도 계룡시 엄사면 엄사리 번영로 36번지,충청남도,계룡시,엄사면 엄사리 번영로 36번지
동수원,경기도 수원시 팔달구 인계로 166번길 48-21,경기도,수원시,팔달구 인계로 166번길 48-21
진주상대,경상남도 진주시 동진로175,경상남도,진주시,동진로175
대구화원,대구광역시 달성군 화원읍 비슬로 2566-1,대구광역시,달성군,화원읍 비슬로 2566-1
시흥정왕,경기도 시흥시 정왕대로 220,경기도,시흥시,정왕대로 220
청주율량,충청북도 청주시 청원구 율봉로 197 102.103호(율량동875-6),충청북도,청주시,청원구 율봉로 197 102.103호(율량동875-6)
거제옥포,경상남도 거제시 옥포로 177,경상남도,거제시,옥포로 177
여천,전라남도 여수시 시청로 43 (학동),전라남도,여수시,시청로 43 (학동)
춘천명동EXP,강원도 춘천시 중앙로1가 91,강원도,춘천시,중앙로1가 91
경안제일,경기도 광주시 중앙로 152,경기도,광주시,중앙로 152
쌍문역,서울특별시 도봉구 도봉로 484,서울특별시,도봉구,도봉로 484
광주일곡,광주광역시 북구 설죽로 506-3  (일곡동),광주광역시,북구,설죽로 506-3  (일곡동)
순천금당,전라남도 순천시 조례못등길25(조례동),전라남도,순천시,조례못등길25(조례동)
GS마트상계,서울특별시 노원구 한글비석로 471,서울특별시,노원구,한글비석로 471
신부여,충청남도 부여군 부여읍 사비로 86,충청남도,부여군,부여읍 사비로 86
부천고강,경기도 부천시 오정구 역곡로481번길 9,경기도,부천시,오정구 역곡로481번길 9
전곡,경기도 연천군 전곡읍 온골로 49,경기도,연천군,전곡읍 온골로 49
안양,경기도 안양시 만안구 안양로 292번길 28,경기도,안양시,만안구 안양로 292번길 28
마석,경기도 남양주시 화도읍 마석로 14,경기도,남양주시,화도읍 마석로 14
나주,전라남도 나주시 나주로 186,전라남도,나주시,나주로 186
철원동송,강원도 철원군 동송읍 이평1리 679-2,강원도,철원군,동송읍 이평1리 679-2
부산반여,부산광역시 해운대구 재반로 209,부산광역시,해운대구,재반로 209
대구평리,대구광역시 서구 국채보상로 246,대구광역시,서구,국채보상로 246
목동사거리,서울특별시 양천구 등촌로 28,서울특별시,양천구,등촌로 28
전주효자CGV,전라북도 전주시 완산구 용머리로 46,전라북도,전주시,완산구 용머리로 46
서산터미날,충청남도 서산시 안견로 190,충청남도,서산시,안견로 190
대구북부터미날,대구광역시 서구 서대구로 295-6,대구광역시,서구,서대구로 295-6
사천,경상남도 사천시 정동면 옥산로 46번지 청솔빌딩 1층,경상남도,사천시,정동면 옥산로 46번지 청솔빌딩 1층
인천부개,인천광역시 부평구 길주남로 155,인천광역시,부평구,길주남로 155
신평탑마트,부산광역시 사하구 하신중앙로 210,부산광역시,사하구,하신중앙로 210
세이브마트,서울특별시 관악구 난곡로 220,서울특별시,관악구,난곡로 220
옥천,충청북도 옥천군 옥천읍 중앙로 45,충청북도,옥천군,옥천읍 중앙로 45
남해,경상남도 남해군 남해읍 화전로 52-1,경상남도,남해군,남해읍 화전로 52-1
대구용산,대구광역시 달서구 평리로 50,대구광역시,달서구,평리로 50
인천옥련,인천광역시 연수구 둑배로 40번길 39,인천광역시,연수구,둑배로 40번길 39
광주봉선,광주광역시 남구 봉선 중앙로82(봉선동),광주광역시,남구,봉선 중앙로82(봉선동)
부산대신,부산광역시 서구 구덕로 340번길 4,부산광역시,서구,구덕로 340번길 4
청주개신,충청북도 청주시 흥덕구 경신로 31-1,충청북도,청주시,흥덕구 경신로 31-1
천안백석,충청남도 천안시 서북구 백석4길 4,충청남도,천안시,서북구 백석4길 4
주안고려,인천광역시 미추홀구 주안동 미추홀대로 743,인천광역시,미추홀구,주안동 미추홀대로 743
청주용암,충청북도 청주시 상당구 월평로 172,충청북도,청주시,상당구 월평로 172
광주염주,광주광역시 서구 월드컵4강로 66(화정동),광주광역시,서구,월드컵4강로 66(화정동)
연신내역,서울특별시 은평구 연서로 227,서울특별시,은평구,연서로 227
인천구월,인천광역시 남동구 구월로 270,인천광역시,남동구,구월로 270
금산,충청남도 금산군 금산읍 인삼로 71(앤이씨티 101호),충청남도,금산군,금산읍 인삼로 71(앤이씨티 101호)
인천병방,인천광역시 계양구 장제로 907,인천광역시,계양구,장제로 907
홍천,강원도 홍천군 홍천읍 신장대리 79-71,강원도,홍천군,홍천읍 신장대리 79-71
여주,경기도 여주시 세종로 21,경기도,여주시,세종로 21
마천,서울특별시 송파구 마천로 315,서울특별시,송파구,마천로 315
영대병원,대구광역시 남구 대명로 313,대구광역시,남구,대명로 313
전주서신,전라북도 전주시 완산구 당산로 112  (서신동),전라북도,전주시,완산구 당산로 112  (서신동)
포항오천,경상북도 포항시 남구 오천읍 정몽주로 675,경상북도,포항시,남구 오천읍 정몽주로 675
충북영동,충청북도 영동군 영동읍 중앙로 22-1,충청북도,영동군,영동읍 중앙로 22-1
신탄진,대전광역시 대덕구 신탄진로818-1,대전광역시,대덕구,신탄진로818-1
인천계양,인천광역시 계양구 용종로 2 계산프라자 1층,인천광역시,계양구,용종로 2 계산프라자 1층
노원역,서울특별시 노원구 상계로 64,서울특별시,노원구,상계로 64
증평,충청북도 증평군 증평읍 중앙로 215-1,충청북도,증평군,증평읍 중앙로 215-1
강변씨네마,서울특별시 광진구 광나루로 56길 85,서울특별시,광진구,광나루로 56길 85
점촌,경상북도 문경시 호서로 2,경상북도,문경시,호서로 2
구포,부산광역시 북구 낙동대로 1698,부산광역시,북구,낙동대로 1698
금호,서울특별시 성동구 장터길 23,서울특별시,성동구,장터길 23
강변테크노,서울특별시 광진구 광나루로 56길 85 지하1층,서울특별시,광진구,광나루로 56길 85 지하1층
영도남항,부산광역시 영도구 영선대로 83,부산광역시,영도구,영선대로 83
팔달시장,대구광역시 북구 팔달로 145,대구광역시,북구,팔달로 145
면목중앙,서울특별시 중랑구 면목로 415,서울특별시,중랑구,면목로 415
대전타임월드,대전광역시 서구 둔지로 17(둔산동),대전광역시,서구,둔지로 17(둔산동)
평택중앙,경기도 평택시 평택2로 10번길 10-3,경기도,평택시,평택2로 10번길 10-3
부산장림,부산광역시 사하구 장평로 145번길 77,부산광역시,사하구,장평로 145번길 77
김해어방,경상남도 김해시 인제로 190,경상남도,김해시,인제로 190
북마산,경상남도 창원시 마산회원구 북성로 118,경상남도,창원시,마산회원구 북성로 118
광주충장,광주광역시 동구 충장로 77-7,광주광역시,동구,충장로 77-7
인천신기,인천광역시 미추홀구 인하로 287,인천광역시,미추홀구,인하로 287
제주시청,제주특별자치도 제주시 중앙로 246-1,제주특별자치도,제주시,중앙로 246-1
포천,경기도 포천시 신읍동 41-3번지,경기도,포천시,신읍동 41-3번지
김제,전라북도 김제시 화동길 6,전라북도,김제시,화동길 6
순천연향,전라남도 순천시 연향3로 43 롯데리아,전라남도,순천시,연향3로 43 롯데리아
경북왜관,경상북도 칠곡군 왜관읍 중앙로 212,경상북도,칠곡군,왜관읍 중앙로 212
수원화서,경기도 수원시 팔달구 팔달로 105,경기도,수원시,팔달구 팔달로 105
대구대곡,대구광역시 달서구 도원로 30,대구광역시,달서구,도원로 30
영도동삼,부산광역시 영도구 동삼로 25,부산광역시,영도구,동삼로 25
원주우산,강원도 원주시 우산로 72,강원도,원주시,우산로 72
구서,부산광역시 금정구 구서로 3-1,부산광역시,금정구,구서로 3-1
창원용호,경상남도 창원시 의창구 용지로153번길 7,경상남도,창원시,의창구 용지로153번길 7
구로시장,서울특별시 구로구 구로6동 141-5,서울특별시,구로구,구로6동 141-5
홍성,충청남도 홍성군 홍성읍 아문길29번길82,충청남도,홍성군,홍성읍 아문길29번길82
하양,경상북도 경산시 하양읍 하양로 126,경상북도,경산시,하양읍 하양로 126
대구계명,대구광역시 남구 현충로 250,대구광역시,남구,현충로 250
구미인동,경상북도 구미시 인동중앙로 36-10,경상북도,구미시,인동중앙로 36-10
영천시장,경상북도 영천시 완산로 완산로 73,경상북도,영천시,완산로 완산로 73
대전도마,대전광역시 서구 계백로 1435,대전광역시,서구,계백로 1435
대전은행,대전광역시 중구 중앙로 174(은행동),대전광역시,중구,중앙로 174(은행동)
문현,부산광역시 남구 수영로 15,부산광역시,남구,수영로 15
광주터미널,광주광역시 서구 무진대로 904,광주광역시,서구,무진대로 904
용인터미널,경기도 용인시 처인구 중부대로 1486,경기도,용인시,처인구 중부대로 1486
구미형곡,경상북도 구미시 형곡동로 54,경상북도,구미시,형곡동로 54
대전중동,대전광역시 동구 중앙로 189-1(중동),대전광역시,동구,중앙로 189-1(중동)
동두천,경기도 동두천시 중앙로 270,경기도,동두천시,중앙로 270
거창,경상남도 거창군 거창읍 아림로 20-1,경상남도,거창군,거창읍 아림로 20-1
통영,경상남도 통영시 중앙로 111,경상남도,통영시,중앙로 111
인천백운,인천광역시 부평구 경원대로1240번길,인천광역시,부평구,경원대로1240번길
하남덕풍,경기도 하남시 신장로 147,경기도,하남시,신장로 147
언양,울산광역시 울주군 언양읍 읍성로 27,울산광역시,울주군,언양읍 읍성로 27
신제주,"제주특별자치도 제주시 연북로 22, 101호",제주특별자치도,제주시,"연북로 22, 101호"
덕천,부산광역시 북구 덕천 1길 26,부산광역시,북구,덕천 1길 26
제물포,인천광역시 미추홀구 경인로 124,인천광역시,미추홀구,경인로 124
산본중앙,경기도 군포시 산본로 343번길 21,경기도,군포시,산본로 343번길 21
대구복현,대구광역시 북구 검단로 8,대구광역시,북구,검단로 8
대구지산,대구광역시 수성구 지범로 203,대구광역시,수성구,지범로 203
대구효목,대구광역시 수성구 화랑로 116,대구광역시,수성구,화랑로 116
양주리치마트,경기도 양주시 덕계동 평화로1415,경기도,양주시,덕계동 평화로1415
예산,충청남도 예산군 예산읍 예산로194번길 13-2,충청남도,예산군,예산읍 예산로194번길 13-2
울산대학,울산광역시 남구 대학로 90-1,울산광역시,남구,대학로 90-1
논산,충청남도 논산시 중앙로398번길 13-9 더 채움 리저브 건물 1층,충청남도,논산시,중앙로398번길 13-9 더 채움 리저브 건물 1층
남원,전라북도 남원시 남문로 448,전라북도,남원시,남문로 448
부천원미,경기도 부천시 원미구 부천로 53,경기도,부천시,원미구 부천로 53
대구봉덕,대구광역시 남구 봉덕로 90-1,대구광역시,남구,봉덕로 90-1
부천원종,경기도 부천시 소사로 756,경기도,부천시,소사로 756
정읍,전라북도 정읍시 조곡천 1길 55(수성동),전라북도,정읍시,조곡천 1길 55(수성동)
롯데부산본점시네마,부산광역시 부산진구 가야대로 772,부산광역시,부산진구,가야대로 772
부산비프광장,부산광역시 중구 구덕로 58-1,부산광역시,중구,구덕로 58-1
신갈,경기도 용인시 기흥구 신갈로 60,경기도,용인시,기흥구 신갈로 60
강릉터미날,강원도 강릉시 하슬라로 15,강원도,강릉시,하슬라로 15
보은,충청북도 보은군 보은읍 보은로 95,충청북도,보은군,보은읍 보은로 95
김해부원,경상남도 김해시 가락로 13,경상남도,김해시,가락로 13
화곡시장,서울특별시 강서구 가로공원로 76길 56 (화곡동) 1층,서울특별시,강서구,가로공원로 76길 56 (화곡동) 1층
상주,경상북도 상주시 중앙로 185,경상북도,상주시,중앙로 185
대구만촌,대구광역시 수성구 청호로 498,대구광역시,수성구,청호로 498
부산용호,부산광역시 남구 용호로 136-1,부산광역시,남구,용호로 136-1
양산,경상남도 양산시 삼일로 91,경상남도,양산시,삼일로 91
대천,충청남도 보령시 번영로 41(대천동),충청남도,보령시,번영로 41(대천동)
동대구,대구광역시 동구 동부로 30길 7(신세계백화점 맞은편),대구광역시,동구,동부로 30길 7(신세계백화점 맞은편)
금촌,경기도 파주시 문화로 105,경기도,파주시,문화로 105
여수중앙,전라남도 여수시 통제영3길12,전라남도,여수시,통제영3길12
공주,충청남도 공주시 웅진로 150,충청남도,공주시,웅진로 150
대구신암,대구광역시 동구 신암로 102-1,대구광역시,동구,신암로 102-1
군산,전라북도 군산시 대학로 52,전라북도,군산시,대학로 52
안산선부,경기도 안산시 단원구 달미로 63,경기도,안산시,단원구 달미로 63
대구감삼,대구광역시 서구 달구벌대로 1669,대구광역시,서구,달구벌대로 1669
대구상인,대구광역시 달서구 상인서로 107,대구광역시,달서구,상인서로 107
안산상록수,경기도 안산시 상록구 상록수로40,경기도,안산시,상록구 상록수로40
둔산선사,대전광역시 서구 청사서로 42 효성프라자 1층,대전광역시,서구,청사서로 42 효성프라자 1층
부천송내,경기도 부천시 원미구 부일로 202-13,경기도,부천시,원미구 부일로 202-13
마산창동,경상남도 창원시 마산합포구 창동거리길 28-1,경상남도,창원시,마산합포구 창동거리길 28-1
속초,강원도 속초시 금호동 중앙로 128,강원도,속초시,금호동 중앙로 128
부산진역,부산광역시 동구 중앙대로 377,부산광역시,동구,중앙대로 377
성대시장,서울특별시 동작구 동작구 상도3동 324-1 (지하철7호선 신대방삼거리역 1번출구),서울특별시,동작구,동작구 상도3동 324-1 (지하철7호선 신대방삼거리역 1번출구)
서귀포,제주특별자치도 서귀포시 중정로61번길 9(서귀포),제주특별자치도,서귀포시,중정로61번길 9(서귀포)
경산,경상북도 경산시 중앙로 83,경상북도,경산시,중앙로 83
응암,서울특별시 은평구 은평로 136,서울특별시,은평구,은평로 136
석계,서울특별시 노원구 화랑로 325,서울특별시,노원구,화랑로 325
온양,충청남도 아산시 온궁로 32,충청남도,아산시,온궁로 32
성남신흥,경기도 성남시 수정구 산성대로 241번길 239,경기도,성남시,수정구 산성대로 241번길 239
부산연산,부산광역시 연제구 반송로8,부산광역시,연제구,반송로8
인천계산,인천광역시 계양구 경명대로 1049(계산동),인천광역시,계양구,경명대로 1049(계산동)
순천,전라남도 순천시 중앙 6길 14,전라남도,순천시,중앙 6길 14
수원매탄,경기도 수원시 영통구 중부대로 248,경기도,수원시,영통구 중부대로 248
구로디지털역,서울특별시 관악구 시흥대로 578,서울특별시,관악구,시흥대로 578
대전동부,대전광역시 동구 동서대로1695번길 30,대전광역시,동구,동서대로1695번길 30
영주,경상북도 영주시 번영로 156,경상북도,영주시,번영로 156
대전버드내,대전광역시 중구 태평로 30,대전광역시,중구,태평로 30
구미,경상북도 구미시 구미중앙로 100,경상북도,구미시,구미중앙로 100
부산양정,부산광역시 부산진구 양정1동 중앙대로 901-1,부산광역시,부산진구,양정1동 중앙대로 901-1
불광,서울특별시 은평구 통일로 741,서울특별시,은평구,통일로 741
광주금남로,광주광역시 동구 서석로51,광주광역시,동구,서석로51
충주,충청북도 충주시 예성로151,충청북도,충주시,예성로151
제천,충청북도 제천시 풍양로13길 5,충청북도,제천시,풍양로13길 5
원당,경기도 고양시 덕양구 마상로 154번길 68 (성사동),경기도,고양시,덕양구 마상로 154번길 68 (성사동)
춘천명동,강원도 춘천시 조양동 125,강원도,춘천시,조양동 125
길동,서울특별시 강동구 천호대로 1124,서울특별시,강동구,천호대로 1124
포항,경상북도 포항시 북구 중앙로 282,경상북도,포항시,북구 중앙로 282
마들역,서울특별시 노원구 동일로 1528,서울특별시,노원구,동일로 1528
언더랜드,서울특별시 송파구 올림픽로 240,서울특별시,송파구,올림픽로 240
서울랜드점,경기도 과천시 막계동 광명로 181(서울랜드),경기도,과천시,막계동 광명로 181(서울랜드)
소공2호,서울특별시 중구 남대문로 81,서울특별시,중구,남대문로 81
동서울터미널,서울특별시 광진구 구의3동546-1,서울특별시,광진구,구의3동546-1
봉천,서울특별시 관악구 관악로212,서울특별시,관악구,관악로212
강릉,강원도 강릉시 경강로 2106,강원도,강릉시,경강로 2106
원주일산,강원도 원주시 천사로 213,강원도,원주시,천사로 213
성남,경기도 성남시 수정구 수정로 181,경기도,성남시,수정구 수정로 181
대전중앙,대전광역시 중구 선화동 3-3번지,대전광역시,중구,선화동 3-3번지
홈서비스과천,경기도 과천시 별양동 19-4,경기도,과천시,별양동 19-4
홈서비스부암(부산역),부산광역시 부산진구 부암동 722-3번지,부산광역시,부산진구,부암동 722-3번지
